刊物名称,刊物全称,出版社,地址,等级,期刊/会议,类别
DIMVA,Detection of Intrusions and Malware &Vulnerability Assessment,SIDAR、GI、Springer,http://dblp.uni-trier.de/db/conf/dimva/,C,Meeting,3
DFRWS,Digital Forensic Research Workshop,Elsevier,http://dblp.uni-trier.de/db/conf/dfrws/,C,Meeting,3
FC,Financial Cryptography and Data Security,Springer,http://dblp.uni-trier.de/db/conf/fc/,C,Meeting,3
TrustCom,"IEEE International Conference on Trust,Security and Privacy in Computing and Communications",IEEE,http://dblp.uni-trier.de/db/conf/trustcom/,C,Meeting,3
SEC,IFIP International Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/sec/,C,Meeting,3
IFIP WG 11.9,IFIP WG 11.9 International Conference on Digital Forensics,Springer,http://www.ifip119.org/Conferences/,C,Meeting,3
ISC,Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/isw/,C,Meeting,3
ICDF2C,International Conference on Digital Forensics & Cyber Crime,Springer,http://dblp.uni-trier.de/db/conf/icdf2c/,C,Meeting,3
ICICS,International Conference on Information and Communications Security,Springer,http://dblp.uni-trier.de/db/conf/icics/,C,Meeting,3
SecureComm,International Conference on Security and Privacy in Communication Networks,ACM,http://dblp.uni-trier.de/db/conf/securecomm/,C,Meeting,3
NSPW,New Security Paradigms Workshop,ACM,http://dblp.uni-trier.de/db/conf/nspw/,C,Meeting,3
PAM,Passive and Active Measurement Conference,Springer,http://dblp.uni-trier.de/db/conf/pam/,C,Meeting,3
PETS,Privacy Enhancing Technologies Symposium,Springer,http://dblp.uni-trier.de/db/conf/pet/,C,Meeting,3
SAC,Selected Areas in Cryptography,Springer,http://dblp.uni-trier.de/db/conf/sacrypt/,C,Meeting,3
SOUPS,Symposium On Usable Privacy and Security,ACM,http://dblp.uni-trier.de/db/conf/soups/,C,Meeting,3
HotSec,USENIX Workshop on Hot Topics in Security,USENIX,http://www.usenix.org/events/,C,Meeting,3
TOPLAS,ACM Transactions on Programming Languages & Systems,ACM,http://dblp.uni-trier.de/db/journals/toplas/,A,Journal,4
TOSEM,ACM Transactions on Software Engineering and Methodology,ACM,http://dblp.uni-trier.de/db/journals/tosem/,A,Journal,4
TSE,IEEE Transactions on Software Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tse/,A,Journal,4
ASE,Automated Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ase/,B,Journal,4
ESE,Empirical Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ese/,B,Journal,4
TSC,IEEE Transactions on Service Computing,IEEE,http://dblp.uni-trier.de/db/journals/tsc/,B,Journal,4
IETS,IET Software,IET,http://dblp.uni-trier.de/db/journals/iee/index.html,B,Journal,4
